                Year                 Doy        Cinput(gC/s)      Foliage(gC/m2)        Woody(gC/m2)   Met_litter(gC/m2)   Str_litter(gC/m2)    Fast_soil(gC/m2)    Slow_soil(gC/m2)    Pass_soil(gC/m2)          I(gC/m2/s)  Residence time(yr)     Capacity(gC/m2)    Potential(gC/m2)
                   1                 365     0.224500000E-04     0.130443513E+03     0.192878939E+03     0.603418949E+01     0.997989775E+01     0.382075291E+01     0.112161507E+01     0.125146523E-01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.269106300E+05
                   2                 365     0.224500000E-04     0.303787669E+03     0.568340026E+03     0.167380610E+02     0.562966707E+02     0.166603127E+02     0.128641954E+02     0.144267555E+00     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.262798688E+05
                   3                 365     0.224500000E-04     0.394920032E+03     0.930329468E+03     0.225349757E+02     0.121929504E+03     0.264970057E+02     0.397380462E+02     0.441805761E+00     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.257181555E+05
                   4                 365     0.224500000E-04     0.442831122E+03     0.127933063E+04     0.255826539E+02     0.191836106E+03     0.328707611E+02     0.786900244E+02     0.870835436E+00     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.252024316E+05
                   5                 365     0.224500000E-04     0.468019458E+03     0.161580954E+04     0.271849122E+02     0.259487482E+03     0.372229761E+02     0.126929479E+03     0.140802595E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.247183087E+05
                   6                 365     0.224500000E-04     0.481261742E+03     0.194021550E+04     0.280272688E+02     0.322470711E+03     0.404168883E+02     0.182445830E+03     0.204205015E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.242574349E+05
                   7                 365     0.224500000E-04     0.488223619E+03     0.225298168E+04     0.284701216E+02     0.380272433E+03     0.429304965E+02     0.243772959E+03     0.276802791E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.238148503E+05
                   8                 365     0.224500000E-04     0.491883692E+03     0.255452573E+04     0.287029429E+02     0.433183529E+03     0.450305803E+02     0.309815829E+03     0.358434537E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.233875043E+05
                   9                 365     0.224500000E-04     0.493807905E+03     0.284525029E+04     0.288253443E+02     0.481774672E+03     0.468687212E+02     0.379737478E+03     0.449098390E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.229734411E+05
                  10                 365     0.224500000E-04     0.493465803E+03     0.311662477E+04     0.288104886E+02     0.525157136E+03     0.483978610E+02     0.451540872E+03     0.547216918E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.225713482E+05
                  11                 365     0.224500000E-04     0.131204913E+03     0.199329912E+03     0.607441905E+01     0.101578377E+02     0.385529461E+01     0.113851678E+01     0.130229914E-01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.269031467E+05
                  12                 365     0.224500000E-04     0.304187961E+03     0.574559537E+03     0.167635210E+02     0.567143937E+02     0.167045453E+02     0.129471481E+02     0.145380522E+00     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.262726768E+05
                  13                 365     0.224500000E-04     0.395130477E+03     0.936325821E+03     0.225483624E+02     0.122474487E+03     0.265304467E+02     0.398940294E+02     0.443515052E+00     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.257111987E+05
                  14                 365     0.224500000E-04     0.442941760E+03     0.128511183E+04     0.255896917E+02     0.192445742E+03     0.328977968E+02     0.789165989E+02     0.873103302E+00     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.251956667E+05
                  15                 365     0.224500000E-04     0.468077624E+03     0.162138331E+04     0.271886122E+02     0.260126436E+03     0.372466376E+02     0.127223858E+03     0.141086076E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.247117128E+05
                  16                 365     0.224500000E-04     0.481292322E+03     0.194558928E+04     0.280292140E+02     0.323118736E+03     0.404387465E+02     0.182805085E+03     0.204548528E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.242509956E+05
                  17                 365     0.224500000E-04     0.488239695E+03     0.225816265E+04     0.284711442E+02     0.380917763E+03     0.429513368E+02     0.244193984E+03     0.277210790E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.238085605E+05
                  18                 365     0.224500000E-04     0.491892144E+03     0.255952080E+04     0.287034806E+02     0.433819255E+03     0.450507859E+02     0.310295363E+03     0.358911858E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.233813596E+05
                  19                 365     0.224500000E-04     0.493812348E+03     0.285006615E+04     0.288256269E+02     0.482396726E+03     0.468884718E+02     0.380272167E+03     0.449649874E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.229674382E+05
                  20                 365     0.224500000E-04     0.493471477E+03     0.312136577E+04     0.288106411E+02     0.525761536E+03     0.484171836E+02     0.452125643E+03     0.548171227E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.225654841E+05
                  21                 365     0.224500000E-04     0.132103908E+03     0.238906941E+03     0.612211283E+01     0.109065106E+02     0.390476467E+01     0.117654139E+01     0.120190440E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.268605968E+05
