                Year                 Doy        Cinput(gC/s)      Foliage(gC/m2)        Woody(gC/m2)   Met_litter(gC/m2)   Str_litter(gC/m2)    Fast_soil(gC/m2)    Slow_soil(gC/m2)    Pass_soil(gC/m2)          I(gC/m2/s)  Residence time(yr)     Capacity(gC/m2)    Potential(gC/m2)
                   1                 365     0.224500000E-04     0.130443513E+03     0.192878939E+03     0.603418949E+01     0.997989775E+01     0.382075291E+01     0.112161507E+01     0.125146523E-01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.269106300E+05
                   2                 365     0.224500000E-04     0.303787669E+03     0.568340026E+03     0.167380610E+02     0.562966707E+02     0.166603127E+02     0.128641954E+02     0.144267555E+00     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.262798688E+05
                   3                 365     0.224500000E-04     0.394920032E+03     0.930329468E+03     0.225349757E+02     0.121929504E+03     0.264970057E+02     0.397380462E+02     0.441805761E+00     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.257181555E+05
                   4                 365     0.224500000E-04     0.442831122E+03     0.127933063E+04     0.255826539E+02     0.191836106E+03     0.328707611E+02     0.786900244E+02     0.870835436E+00     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.252024316E+05
                   5                 365     0.224500000E-04     0.468019458E+03     0.161580954E+04     0.271849122E+02     0.259487482E+03     0.372229761E+02     0.126929479E+03     0.140802595E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.247183087E+05
                   6                 365     0.224500000E-04     0.481261742E+03     0.194021550E+04     0.280272688E+02     0.322470711E+03     0.404168883E+02     0.182445830E+03     0.204205015E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.242574349E+05
                   7                 365     0.224500000E-04     0.488223619E+03     0.225298168E+04     0.284701216E+02     0.380272433E+03     0.429304965E+02     0.243772959E+03     0.276802791E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.238148503E+05
                   8                 365     0.224500000E-04     0.491883692E+03     0.255452573E+04     0.287029429E+02     0.433183529E+03     0.450305803E+02     0.309815829E+03     0.358434537E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.233875043E+05
                   9                 365     0.224500000E-04     0.493807905E+03     0.284525029E+04     0.288253443E+02     0.481774672E+03     0.468687212E+02     0.379737478E+03     0.449098390E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.229734411E+05
                  10                 365     0.224500000E-04     0.494821715E+03     0.314580446E+04     0.288898338E+02     0.529430281E+03     0.486928596E+02     0.470905369E+03     0.255697211E+02     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.225713482E+05
                  11                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.972535738E-10
                  12                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  13                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  14                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  15                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  16                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  17                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  18                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  19                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  20                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  21                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.972535738E-10
